timestamp,Left_Heel,Left_Middle,Left_Top,Right_Heel,Right_Middle,Right_Top
1736322813.1741595,0,564,171,16,43,0
1736322813.2369502,0,48,416,64,0,0
1736322813.2932885,0,829,126,4,38,0
1736322813.356572,0,173,336,0,76,32
1736322813.4166038,0,590,144,21,0,0
1736322813.5366309,0,815,109,26,14,0
1736322813.5909407,0,0,575,0,98,1
1736322813.6531413,0,942,83,0,97,6
1736322813.716566,0,14,429,66,0,0
1736322813.772897,0,1014,64,83,49,135
1736322813.833832,0,157,336,10,20,0
1736322813.8937793,0,541,160,0,50,0
1736322814.0134916,0,885,61,52,0,0
1736322814.0763595,0,160,310,0,199,26
1736322814.136134,0,341,229,0,0,10
1736322814.1927009,0,417,217,49,0,116
1736322814.2575374,0,270,208,0,48,0
1736322814.3164892,0,388,136,0,119,11
1736322814.3689861,0,271,271,0,18,0
1736322814.4316795,0,138,366,32,11,0
1736322814.49609,0,138,464,0,43,130
1736322814.6102266,0,842,0,14,20,0
1736322814.7367668,0,1778,101,5,2,0
1736322814.7964036,0,551,219,0,64,0
1736322814.8559494,0,1004,78,0,66,26
1736322814.915486,0,1787,143,25,0,122
1736322814.9652143,0,2288,71,15,0,0
1736322815.03929,0,0,374,0,64,0
1736322815.0964575,0,354,293,0,78,0
1736322815.156662,0,3201,224,19,18,0
1736322815.2102187,0,1415,4095,7,0,5
1736322815.2687554,4095,0,3493,4,16,129
1736322815.391493,664,2023,2021,0,50,0
1736322815.4573479,0,3387,187,0,39,0
1736322815.5780032,0,3164,1796,17,14,0
1736322815.636429,0,3472,205,0,32,18
1736322815.6952095,4095,0,3687,0,65,0
1736322815.7521,4095,466,3254,0,22,0
1736322815.8796299,0,4095,103,10,26,0
1736322815.933513,0,0,3773,0,48,0
1736322815.9943264,4095,0,3474,0,48,0
1736322816.1167362,4095,0,3975,1,11,141
1736322816.1752145,1085,0,3527,0,34,0
1736322816.2933793,0,1527,3386,0,45,0
1736322816.3546176,1274,0,3767,0,34,0
1736322816.4150858,1118,0,3554,14,19,0
1736322816.5335581,4095,0,4095,0,32,14
1736322816.5905583,0,3408,4095,0,26,127
1736322816.6620562,1411,665,2395,0,16,0
1736322816.7139332,1579,0,2767,0,42,0
1736322816.7728994,3472,550,3455,0,45,0
1736322816.8937845,3338,0,2187,0,0,10
1736322816.9566264,2695,0,998,258,0,0
1736322817.0140328,4095,0,3648,160,0,0
1736322817.134577,0,4095,146,0,388,71
1736322817.1888404,2966,0,3919,0,432,80
1736322817.2564971,4095,0,3583,121,0,0
1736322817.3099284,0,3701,4095,34,0,0
1736322817.3686342,3754,0,3845,0,414,74
1736322817.498999,4095,0,3620,0,1168,259
1736322817.5568864,4095,0,1874,314,3120,2409
1736322817.6145728,0,0,4095,0,495,270
1736322817.6745331,1503,1349,2480,0,1139,256
1736322817.7357647,3120,0,2531,368,0,0
1736322817.7919393,4095,0,4012,1013,0,0
1736322817.85258,4095,0,3671,0,1038,222
1736322817.9154098,4095,0,3715,229,525,129
1736322817.9747386,1477,495,654,656,0,96
1736322818.0352206,4095,0,4006,769,0,0
