timestamp,Right_Heel,Right_Middle,Right_Top
1736322813.1646674,16,43,0
1736322813.2280827,64,0,0
1736322813.292138,4,38,0
1736322813.3515916,0,76,32
1736322813.4716275,21,0,0
1736322813.5316525,26,14,0
1736322813.5909407,0,98,1
1736322813.6431274,0,97,6
1736322813.7109208,66,0,0
1736322813.7719107,83,49,135
1736322813.8275354,10,20,0
1736322813.891476,0,50,0
1736322813.9516563,52,0,0
1736322814.0645645,0,199,26
1736322814.1314466,0,0,10
1736322814.1908402,49,0,116
1736322814.251482,0,48,0
1736322814.3098044,0,119,11
1736322814.3689861,0,18,0
1736322814.4316795,32,11,0
1736322814.5520158,0,43,130
1736322814.6688974,14,20,0
1736322814.730382,5,2,0
1736322814.7906358,0,64,0
1736322814.8522468,0,66,26
1736322814.9069605,25,0,122
1736322814.9652143,15,0,0
1736322815.027053,0,64,0
1736322815.08753,0,78,0
1736322815.1508384,19,18,0
1736322815.2102187,7,0,5
1736322815.2687554,4,16,129
1736322815.391493,0,50,0
1736322815.4513695,0,39,0
1736322815.566303,17,14,0
1736322815.627873,0,32,18
1736322815.6916246,0,65,0
1736322815.7515998,0,22,0
1736322815.8718753,10,26,0
1736322815.9309924,0,48,0
1736322816.050999,0,48,0
1736322816.1120977,1,11,141
1736322816.164739,0,34,0
1736322816.292461,0,45,0
1736322816.3443916,0,34,0
1736322816.4026153,14,19,0
1736322816.531204,0,32,14
1736322816.5905583,0,26,127
1736322816.6526124,0,16,0
1736322816.703549,0,42,0
1736322816.8319666,0,45,0
1736322816.891015,0,0,10
1736322817.0112247,258,0,0
1736322817.0721126,160,0,0
1736322817.1305332,0,388,71
1736322817.1888404,0,432,80
1736322817.2500153,121,0,0
1736322817.3099284,34,0,0
1736322817.3686342,0,414,74
1736322817.4889128,0,1168,259
1736322817.5508049,314,3120,2409
1736322817.6087816,0,495,270
1736322817.6643982,0,1139,256
1736322817.7276945,368,0,0
1736322817.7919393,1013,0,0
1736322817.8515198,0,1038,222
1736322817.9116352,229,525,129
1736322817.970843,656,0,96
1736322818.0282338,769,0,0
1736322818.0876412,813,675,131
1736322818.1510139,4095,0,0
1736322818.2119372,0,301,55
1736322818.2717152,0,3305,800
1736322818.3282933,0,1599,528
1736322818.3910198,849,0,0
1736322818.5051868,862,0,0
1736322818.6321485,0,1114,273
1736322818.689266,465,0,94
1736322818.7491343,427,0,0
1736322818.8103194,98,1035,211
1736322818.8713646,1648,2354,511
1736322818.9318259,0,2768,641
1736322818.9894753,766,55,48
1736322819.0506546,1234,0,80
1736322819.1686609,0,786,166
1736322819.23241,481,1008,207
1736322819.3522327,1803,0,0
1736322819.411154,4095,0,0
1736322819.4688454,739,817,176
1736322819.5320694,293,3230,980
1736322819.6445775,0,2463,560
1736322819.704763,1456,0,0
1736322819.7717102,1041,334,51
1736322819.8321939,448,1152,267
1736322819.8826613,749,0,125
