timestamp,Right_Heel,Right_Middle,Right_Top
1734603855.6739023,0,207,82
1734603855.7936554,1344,711,665
1734603855.8527424,3603,0,0
1734603855.9752796,3256,0,0
1734603856.0358384,576,122,0
1734603856.094679,211,0,0
1734603856.1533637,171,0,0
1734603856.2038279,145,0,0
1734603856.2728398,166,0,65
1734603856.3359203,118,0,208
1734603856.4550712,119,450,240
1734603856.5674486,48,168,0
1734603856.6346893,14,129,0
1734603856.754168,0,66,0
1734603856.8723817,14,112,0
1734603856.9959583,11,80,0
1734603857.1122031,11,76,0
1734603857.1746056,1786,144,2375
1734603857.2366245,3846,3268,187
1734603857.2869968,4095,3291,71
1734603857.350975,4095,3328,0
1734603857.4867878,659,2163,50
1734603857.534949,1075,0,576
1734603857.5960343,61,431,0
1734603857.7063894,496,689,299
1734603857.8217874,0,258,0
1734603857.89489,0,125,0
1734603857.9429462,0,85,0
1734603858.0149665,0,125,0
1734603858.0736675,0,171,0
1734603858.1333613,0,148,0
1734603858.3077703,0,218,36
1734603858.4328187,0,325,330
1734603858.495567,4095,3297,150
1734603858.556035,4054,819,0
1734603858.674051,256,863,116
1734603858.793894,1166,0,1280
1734603858.966603,562,0,384
1734603859.027357,82,0,121
1734603859.0815878,144,1425,0
1734603859.154716,367,251,54
1734603859.21024,267,239,48
1734603859.3217645,27,80,0
1734603859.3885517,53,112,0
1734603859.5146267,48,103,0
1734603859.6349459,0,242,63
1734603860.0541344,0,272,91
1734603860.1149893,0,174,176
1734603860.1739748,3235,0,0
1734603860.2949069,2352,0,0
1734603860.3535855,1667,0,0
1734603860.40875,2614,0,0
1734603860.5274673,854,727,0
1734603860.5849786,1122,0,349
1734603860.6566453,351,1098,0
1734603860.7043936,749,2157,11
1734603860.7755182,0,135,0
1734603860.8333738,0,174,0
1734603860.895062,0,225,39
1734603860.9558585,0,432,231
1734603861.0161235,535,311,0
1734603861.0752594,464,320,0
1734603861.1345966,474,421,0
1734603861.1911001,273,89,0
1734603861.2603643,73,0,82
1734603861.3737104,577,689,0
1734603861.4903402,1008,2147,11
1734603861.5569973,304,438,51
1734603861.6152565,0,101,0
1734603861.6702113,633,646,431
1734603861.7303286,0,207,15
1734603861.7873423,17,112,0
1734603861.902542,20,112,0
1734603861.9741366,63,143,0
1734603862.0340073,0,101,0
1734603862.0948434,0,84,0
1734603862.1543977,0,108,0
1734603862.3300586,638,9,0
1734603862.57488,629,0,0
1734603862.622382,595,0,0
1734603862.8160393,27,7,112
1734603862.8689008,157,0,272
1734603862.9340818,0,0,80
1734603863.0563114,0,15,162
1734603863.1117666,48,0,297
1734603863.2338018,0,141,0
1734603863.35423,0,134,0
1734603863.4716206,0,109,0
1734603863.594337,83,77,0
1734603863.6539621,63,73,0
1734603863.7113817,26,59,0
1734603863.7754908,7,62,0
1734603863.8294876,0,74,0
1734603863.9421308,2,101,0
1734603864.0749497,0,86,0
1734603864.1940434,124,45,0
1734603864.2535868,22,48,0
1734603864.4219322,48,46,0
1734603864.4953141,1023,1798,0
1734603864.5431757,511,583,0
1734603864.6131935,192,1174,0
1734603864.6698444,283,1530,0
1734603864.7935243,0,151,0
1734603864.857526,0,284,117
1734603864.9065168,0,351,426
1734603864.9718835,3094,0,421
1734603865.0312607,2374,550,3505
1734603865.0951884,0,37,3715
1734603865.1531653,0,591,3667
1734603865.203691,433,0,379
1734603865.2753747,94,0,176
1734603865.3424482,0,0,149
1734603865.4465334,0,0,336
1734603865.5088394,0,0,387
1734603865.576562,55,0,503
1734603865.622563,1344,1323,0
1734603865.686254,33,114,0
