timestamp,Left_Heel,Left_Middle,Left_Top,Right_Heel,Right_Middle,Right_Top
1734602756.2842815,240,0,0,178,20,268
1734602756.3440108,298,0,31,106,11,207
1734602756.400709,0,2774,86,1,47,110
1734602756.4716353,0,3275,242,0,129,53
1734602756.5311549,0,3299,382,0,156,15
1734602756.59243,0,3264,202,0,112,55
1734602756.6520748,0,3279,227,33,68,106
1734602756.71043,0,3289,262,102,64,167
1734602756.7716846,0,3226,192,144,112,189
1734602756.8317652,0,3276,197,80,129,134
1734602756.8918502,0,3282,208,0,47,46
1734602756.9526536,0,3287,186,946,818,0
1734602757.0045366,0,3286,199,617,459,143
1734602757.072888,0,3291,205,810,626,0
1734602757.1297436,326,0,227,0,15,106
1734602757.1923084,484,0,331,22,0,122
1734602757.3005388,832,0,252,80,27,162
1734602757.3731585,575,0,71,76,51,150
1734602757.421126,880,0,64,69,75,152
1734602757.4892285,675,0,109,59,80,125
1734602757.5491858,558,0,0,19,51,95
1734602757.6729095,424,0,0,214,0,287
1734602757.7211115,431,0,0,320,0,336
1734602757.7889204,464,0,0,227,103,326
1734602757.8527145,701,0,108,112,423,205
1734602757.9127672,721,0,198,0,66,39
1734602757.973875,0,85,204,66,162,148
1734602758.0293026,0,402,568,53,66,131
1734602758.0932126,0,619,1089,145,82,215
1734602758.141441,0,889,1755,118,66,180
1734602758.2060895,0,1211,2593,102,85,171
1734602758.2717917,1982,0,1262,0,123,48
1734602758.3828204,296,483,0,67,172,123
1734602758.451322,48,437,0,87,153,130
1734602758.512431,0,342,0,0,0,2179
1734602758.5719595,0,288,0,918,785,850
1734602758.6218026,0,3253,286,82,0,208
1734602758.6922495,0,3186,271,41,0,144
1734602758.751475,0,3182,224,154,0,230
1734602758.8103163,0,3149,241,1,0,128
1734602758.873724,0,3133,283,54,0,144
1734602758.9312584,0,3063,324,0,0,86
1734602758.9842503,0,2869,335,0,38,85
1734602759.0482228,0,2919,369,117,92,179
1734602759.1122093,0,2898,394,571,0,566
1734602759.1725688,0,2883,400,499,0,494
1734602759.2307148,0,2982,432,320,302,338
1734602759.291708,0,2865,425,0,225,16
1734602759.3989294,0,208,3041,324,524,380
1734602759.4731197,0,1920,3485,54,96,125
1734602759.528017,0,1872,4095,0,79,79
1734602759.5919466,0,2531,4095,49,66,119
1734602759.647825,0,2539,4095,148,84,193
1734602759.7047496,0,3650,4095,14,130,53
1734602759.825328,0,4095,4039,271,256,260
1734602759.8932507,177,3482,2735,205,203,145
1734602759.9520981,476,2657,70,0,0,3711
1734602760.013107,538,3248,179,0,20,3510
1734602760.0738597,464,3247,181,320,0,374
1734602760.1884127,0,2751,380,233,0,280
1734602760.2480028,0,2849,426,208,0,272
1734602760.3123713,0,2903,448,93,0,172
1734602760.3597445,0,2867,446,74,0,158
1734602760.4260094,0,2917,453,128,59,195
1734602760.4908285,0,2997,451,137,237,199
1734602760.5521827,0,2870,368,373,0,386
1734602760.6079738,0,2939,368,328,32,344
1734602760.6718194,0,2893,348,237,110,272
1734602760.7200444,0,2958,315,0,235,60
1734602760.7889628,0,2769,240,96,163,147
1734602760.8473022,0,2467,170,137,124,179
1734602760.9129984,0,2251,3923,91,77,143
1734602760.9600792,0,3245,3109,0,144,39
1734602761.0332537,0,2864,3986,0,131,47
1734602761.1527958,0,2943,4095,118,139,151
1734602761.2025666,0,3478,4095,0,123,0
1734602761.2728,0,2828,4095,9,115,16
1734602761.3822017,0,4095,3622,0,0,3751
1734602761.4432974,0,4095,3003,37,16,128
1734602761.4994109,0,3895,2347,49,0,112
1734602761.5721095,0,3707,1938,129,6,191
1734602761.622127,0,3679,1967,2,0,80
1734602761.6878295,889,1667,0,35,21,108
1734602761.749431,1059,903,0,67,126,128
1734602761.8586366,1195,13,0,231,178,259
1734602761.9299135,1382,0,0,526,0,499
1734602761.992995,891,26,0,48,419,112
1734602762.0481415,1202,208,0,461,277,457
1734602762.160914,1791,1507,0,0,96,19
1734602762.226056,1693,2803,91,170,179,199
1734602762.292728,1531,3273,177,0,148,11
1734602762.3522906,1616,3274,179,39,180,82
1734602762.405152,2368,0,593,61,133,112
1734602762.4728222,553,36,82,139,199,175
1734602762.5305674,1775,194,1722,0,173,48
1734602762.5940819,3367,559,3631,0,198,43
1734602762.652509,2781,631,3615,0,52,656
1734602762.7061276,0,3583,4095,0,402,1904
1734602762.7699776,0,3217,4095,0,144,3603
1734602762.8835099,0,3505,826,0,509,3508
1734602762.949818,0,3458,758,78,0,146
1734602763.0086575,0,3248,717,16,0,112
1734602763.0737321,0,1151,450,27,0,102
1734602763.129175,1911,3084,143,29,147,94
1734602763.1930587,2027,2263,11,135,164,176
1734602763.2488568,4095,2045,0,153,0,186
1734602763.374204,4095,314,0,311,0,354
1734602763.4325864,4095,0,0,1048,0,955
1734602763.4874637,4095,0,0,0,109,11
1734602763.552082,4095,0,0,109,48,144
1734602763.6696918,4095,0,0,113,119,154
1734602763.7221568,4095,0,0,0,213,35
1734602763.7885063,4095,0,0,60,130,90
1734602763.851506,1535,0,3634,97,91,125
1734602763.910379,0,784,4095,0,208,0
1734602763.9686825,0,3421,4095,80,371,55
1734602764.0294957,0,2233,3821,0,208,2127
1734602764.0924082,0,3523,912,0,176,3062
