timestamp,Right_Heel,Right_Middle,Right_Top
1734602756.29691,178,20,268
1734602756.3597686,106,11,207
1734602756.4162076,1,47,110
1734602756.4716353,0,129,53
1734602756.5361822,0,156,15
1734602756.5981016,0,112,55
1734602756.6578531,33,68,106
1734602756.7174976,102,64,167
1734602756.778246,144,112,189
1734602756.835877,80,129,134
1734602756.8939526,0,47,46
1734602756.9526536,946,818,0
1734602757.0167384,617,459,143
1734602757.0182018,810,626,0
1734602757.1297436,0,15,106
1734602757.197938,22,0,122
1734602757.2448463,80,27,162
1734602757.3731585,76,51,150
1734602757.4351842,69,75,152
1734602757.4994442,59,80,125
1734602757.5491858,19,51,95
1734602757.6757073,214,0,287
1734602757.737135,320,0,336
1734602757.7959743,227,103,326
1734602757.857183,112,423,205
1734602757.9168978,0,66,39
1734602757.9762652,66,162,148
1734602758.0293026,53,66,131
1734602758.098094,145,82,215
1734602758.1573493,118,66,180
1734602758.2164464,102,85,171
1734602758.2768548,0,123,48
1734602758.3359985,67,172,123
1734602758.4574087,87,153,130
1734602758.5164635,0,0,2179
1734602758.5774982,918,785,850
1734602758.6375256,82,0,208
1734602758.6972222,41,0,144
1734602758.757496,154,0,230
1734602758.8141398,1,0,128
1734602758.883944,54,0,144
1734602758.9312584,0,0,86
1734602758.9999366,0,38,85
1734602759.0482228,117,92,179
1734602759.115717,571,0,566
1734602759.1769469,499,0,494
1734602759.2384648,320,302,338
1734602759.291708,0,225,16
1734602759.3506536,324,524,380
1734602759.4731197,54,96,125
1734602759.5358381,0,79,79
1734602759.5365233,49,66,119
1734602759.5970747,148,84,193
1734602759.7172034,14,130,53
1734602759.7749612,271,256,260
1734602759.8375587,205,203,145
1734602759.9520981,0,0,3711
1734602760.0196,0,20,3510
1734602760.0772223,320,0,374
1734602760.1884127,233,0,280
1734602760.2574146,208,0,272
1734602760.3123713,93,0,172
1734602760.3766797,74,0,158
1734602760.4367654,128,59,195
1734602760.4969943,137,237,199
1734602760.5521827,373,0,386
1734602760.6170166,328,32,344
1734602760.6774726,237,110,272
1734602760.7357633,0,235,60
1734602760.7973666,96,163,147
1734602760.8539429,137,124,179
1734602760.9167857,91,77,143
1734602760.9782984,0,144,39
1734602761.0378358,0,131,47
1734602761.1572218,118,139,151
1734602761.2176292,0,123,0
1734602761.2758315,9,115,16
1734602761.3397293,0,0,3751
1734602761.456684,37,16,128
1734602761.5169485,49,0,112
1734602761.5765529,129,6,191
1734602761.6358383,2,0,80
1734602761.695314,35,21,108
1734602761.7565677,67,126,128
1734602761.8174713,231,178,259
1734602761.9299135,526,0,499
1734602761.996486,48,419,112
1734602762.0573685,461,277,457
1734602762.1126301,0,96,19
1734602762.23857,170,179,199
1734602762.2972236,0,148,11
1734602762.3573432,39,180,82
1734602762.4175339,61,133,112
1734602762.477262,139,199,175
1734602762.5398006,0,173,48
1734602762.5940819,0,198,43
1734602762.657695,0,52,656
1734602762.7061276,0,402,1904
1734602762.7802494,0,144,3603
1734602762.8835099,0,509,3508
1734602762.9608912,78,0,146
1734602763.0086575,16,0,112
1734602763.0801992,27,0,102
1734602763.129175,29,147,94
1734602763.1966918,135,164,176
1734602763.256747,153,0,186
1734602763.3165004,311,0,354
1734602763.3779678,1048,0,955
1734602763.5006776,0,109,11
1734602763.552082,109,48,144
1734602763.6170955,113,119,154
1734602763.6777167,0,213,35
1734602763.7885063,60,130,90
1734602763.855208,97,91,125
1734602763.9195454,0,208,0
1734602763.9772413,80,371,55
1734602764.0294957,0,208,2127
1734602764.0963678,0,176,3062
1734602764.1558633,0,0,3790
1734602764.212265,33,2,127
1734602764.275355,141,0,203
1734602764.3365426,81,0,144
1734602764.3977146,90,0,166
1734602764.4574084,113,0,179
1734602764.50336,127,70,177
1734602764.5776808,0,190,35
1734602764.637246,89,0,139
1734602764.6940775,61,0,134
1734602764.7609491,0,1019,18
1734602764.8161829,400,141,410
1734602764.8802242,0,38,48
1734602764.9324014,80,101,129
1734602764.995809,0,173,0
1734602765.056352,53,298,123
1734602765.1810002,0,55,202
1734602765.2995663,0,219,97
1734602765.3570387,0,268,71
1734602765.4173875,0,225,3425
1734602765.475124,0,7,3797
1734602765.5367396,205,0,359
1734602765.5961099,191,9,336
1734602765.6561258,167,0,306
1734602765.7038581,20,0,188
1734602765.7780635,81,0,231
1734602765.8981242,231,0,330
1734602765.957167,304,0,411
1734602766.0173218,441,0,556
1734602766.0758467,0,675,46
1734602766.0772166,510,208,572
1734602766.1354747,739,509,751
1734602766.1989799,0,0,112
1734602766.3123064,57,144,181
1734602766.3749964,0,112,111
1734602766.4401338,0,63,143
1734602766.494358,0,131,105
1734602766.5584536,0,155,71
1734602766.7248285,0,202,3743
1734602766.7975178,122,0,262
1734602766.8549879,113,64,239
1734602766.90858,57,14,195
1734602766.9750926,0,0,123
1734602767.0286148,30,0,176
1734602767.0984952,102,0,220
1734602767.1594949,0,69,64
1734602767.2107584,1,65,98
1734602767.2747881,0,4,34
1734602767.3399522,128,87,209
1734602767.391716,103,0,277
1734602767.455563,955,0,944
1734602767.5154712,432,0,482
1734602767.5763414,363,230,406
1734602767.6265655,43,0,138
1734602767.6974726,50,161,143
1734602767.7570014,0,163,63
1734602767.8178651,30,172,119
1734602767.9344754,0,97,40
1734602768.0558014,357,509,0
1734602768.1785386,0,0,3721
1734602768.2364452,362,477,381
1734602768.2958775,0,267,13
1734602768.3550835,282,0,355
1734602768.4185889,237,0,332
1734602768.4776156,133,0,247
1734602768.6551485,146,0,259
1734602768.7154286,174,0,292
1734602768.7782366,0,0,142
1734602768.8309667,69,0,174
1734602768.897302,0,260,117
1734602768.955828,594,0,613
1734602769.0119796,0,97,75
1734602769.1394093,0,64,102
1734602769.1967475,0,112,175
1734602769.3081498,0,64,128
1734602769.4414105,0,59,174
1734602769.4981623,0,75,146
1734602769.5543246,0,119,160
1734602769.6176708,0,133,179
1734602769.7377434,0,256,160
1734602769.796807,0,260,205
1734602769.9146552,0,256,185
1734602770.0940275,0,239,176
1734602770.1416826,0,208,164
1734602770.2206843,0,0,129
1734602770.3416297,0,11,90
1734602770.3976722,16,48,146
1734602770.5174289,16,31,147
1734602770.5748503,0,0,91
1734602770.6400454,290,0,394
1734602770.7518668,66,0,170
1734602770.81622,0,0,107
