timestamp,Left_Heel,Left_Middle,Left_Top,Right_Heel,Right_Middle,Right_Top
1738841838.7641616,0,4095,3563,17,0,0
1738841838.8120413,0,4095,3267,202,119,51
1738841838.9448397,0,4095,3403,1307,1243,1211
1738841838.9813805,0,4095,4095,361,335,287
1738841839.0754519,0,4095,4095,0,3781,3827
1738841839.1187096,0,4095,4077,0,4095,4095
1738841839.2034287,0,4095,3973,2539,592,581
1738841839.2881973,0,4095,4095,1344,397,353
1738841839.3830295,0,4095,2465,1431,34,0
1738841839.423123,0,4095,2692,1007,0,0
1738841839.4631867,4095,4095,0,599,0,0
1738841839.5434005,4095,4095,0,2737,0,0
1738841839.6443224,4095,4095,0,4095,0,0
1738841839.6801379,4095,4095,0,180,0,0
1738841839.730628,4095,4095,0,145,0,0
1738841839.8184915,4095,4095,0,15,0,0
1738841839.9415493,4095,4095,0,47,0,0
1738841840.0366771,4095,4068,0,1132,1057,1007
1738841840.06966,4095,2439,0,0,1014,983
1738841840.12489,1357,334,0,0,4095,4095
1738841840.2097077,0,3489,4095,0,4095,4095
1738841840.2978559,0,4095,4095,3979,298,210
1738841840.3422012,0,4095,4095,4095,0,0
1738841840.3875208,0,225,4095,0,25,13
1738841840.422959,0,0,4095,319,0,0
1738841840.515006,0,0,4095,379,0,0
1738841840.5634363,0,0,4095,547,19,0
1738841840.6397476,4095,0,0,1070,0,0
1738841840.6936498,4095,0,0,2445,0,0
1738841840.7389066,4095,0,89,1763,0,0
1738841840.7816887,4095,0,0,80,0,0
1738841840.823492,4095,0,0,0,0,0
1738841840.909582,4095,0,380,64,0,0
1738841840.958049,3546,747,0,32,0,0
1738841840.9984179,0,413,1873,266,197,181
1738841841.0790477,0,4095,4095,1163,1168,1127
1738841841.175464,0,1962,4095,0,263,227
1738841841.2078128,64,0,4095,0,4095,4095
1738841841.263255,1,0,4095,0,4095,4095
1738841841.3859012,3,0,4095,93,3239,3198
1738841841.4376574,0,0,4095,4095,0,0
1738841841.4697044,0,0,3500,2785,0,0
1738841841.520142,0,0,2881,3169,0,0
1738841841.61099,0,0,2300,4095,0,0
1738841841.6987922,71,27,1040,4095,0,0
1738841841.7415326,182,151,329,4095,0,0
1738841841.7949247,708,632,0,3323,0,0
1738841841.8276472,0,4095,4095,1107,0,0
1738841841.8676372,0,4095,4095,150,0,0
1738841841.9516678,0,4095,4095,0,0,0
1738841842.0517154,0,4095,4095,183,16,3
1738841842.0939066,0,4095,4095,110,0,0
1738841842.1364155,0,4095,4095,1135,1038,1007
1738841842.1738453,0,4095,4095,987,1053,1023
1738841842.2236695,0,4095,3467,0,689,641
1738841842.3065493,0,4095,1655,0,4095,4095
1738841842.3524637,0,4095,1648,0,4095,4095
1738841842.3908892,4095,4095,0,0,3893,4076
1738841842.4399433,4095,4095,0,38,2875,2858
1738841842.526166,4095,4095,0,2352,0,0
1738841842.617041,4095,4095,0,4095,0,0
1738841842.6518497,4095,4095,0,3214,0,0
1738841842.7050502,4095,4095,0,3642,0,0
1738841842.7504663,4095,4095,0,4095,0,0
1738841842.7926078,4095,4095,0,4095,0,0
1738841842.8738065,4095,4095,0,464,0,0
1738841842.9244583,0,4095,4095,112,0,0
1738841843.0014837,0,4095,3385,51,0,0
1738841843.099075,0,4095,4095,175,63,46
1738841843.1409228,0,4095,4095,267,178,158
1738841843.1894772,0,4095,4095,1337,1317,1226
1738841843.2329087,0,4095,4095,1426,1623,1569
1738841843.3178763,0,4095,4095,0,930,880
1738841843.3638127,0,4095,4095,0,4095,4095
1738841843.399302,0,4095,4095,0,4095,4095
1738841843.4476402,0,4095,4095,20,2939,2958
1738841843.53657,4095,4095,0,144,2775,2766
1738841843.5825636,4095,4095,0,4095,0,0
1738841843.6670127,4095,4095,0,3691,32,0
1738841843.7474742,4095,4095,0,2435,0,0
1738841843.8391697,4095,3899,0,1252,0,0
1738841843.8788617,4095,3626,0,1318,0,0
1738841843.9299586,4095,3194,0,1396,528,511
1738841843.9619467,4095,3026,0,1882,691,677
1738841844.0627081,4095,2818,0,4095,0,0
1738841844.1476002,0,4095,4095,658,0,0
1738841844.2293224,0,4095,4095,262,111,84
1738841844.2787623,0,4095,4095,434,320,283
