timestamp,Left_Heel,Left_Middle,Left_Top,Right_Heel,Right_Middle,Right_Top
1739447752.0107474,256,0,0,96,411,400
1739447752.0549464,250,0,0,0,0,0
1739447752.0957363,259,0,0,0,0,0
1739447752.1917152,254,0,0,0,0,0
1739447752.2731016,247,0,0,0,0,0
1739447752.3174758,255,0,0,0,0,0
1739447752.3603122,256,0,0,3050,2606,2559
1739447752.4456303,255,0,0,1296,0,0
1739447752.5353312,245,0,0,0,0,0
1739447752.579924,253,0,0,0,0,0
1739447752.6229546,256,0,0,100,0,0
1739447752.7105231,266,0,0,124,0,5
1739447752.7543058,259,0,0,187,67,69
1739447752.8006632,256,0,0,891,741,723
1739447752.8436215,257,0,0,0,0,0
1739447752.9298213,262,0,0,112,0,0
1739447752.9743457,251,0,0,3583,2956,2817
1739447753.0153804,269,0,0,1799,1149,1088
1739447753.1486244,257,0,0,1475,2063,2065
1739447753.1909893,0,4043,4095,0,0,0
1739447753.235211,0,3651,4095,95,0,0
1739447753.2813718,431,2402,2949,78,0,0
1739447753.3666074,647,1859,3899,0,0,0
1739447753.4521594,821,0,4095,0,0,29
1739447753.5443456,1839,0,4095,0,141,166
1739447753.590669,1618,0,4095,2971,0,0
1739447753.6302173,1264,0,4095,1314,0,0
1739447753.6742084,1137,0,4095,149,0,0
1739447753.715445,2418,0,4095,80,0,0
1739447753.801956,1872,0,3101,400,179,192
1739447753.8492188,0,0,4095,597,355,336
1739447753.89268,0,0,3713,2099,1914,1885
1739447753.9355245,0,4095,4095,2102,1936,1895
1739447754.0241385,0,4095,4095,0,0,0
1739447754.0686028,0,4095,4095,48,0,0
1739447754.1098115,0,4095,4095,703,561,496
1739447754.1960201,0,3834,4095,3575,2751,2640
1739447754.2415476,0,0,4095,3071,1855,1840
1739447754.2849848,0,0,4095,554,2150,2165
1739447754.3288443,478,0,2711,0,116,110
1739447754.3736753,4095,0,4095,0,0,0
1739447754.4585867,0,0,4095,0,0,0
1739447754.5015738,0,0,4095,0,0,0
1739447754.635081,0,0,4095,0,0,16
1739447754.68283,0,0,4095,0,39,61
1739447754.7269254,0,0,4095,2599,256,240
1739447754.8096635,0,0,4095,15,0,0
1739447754.942621,2077,0,4095,331,192,192
1739447754.98348,3168,0,3969,432,287,291
1739447755.0302687,1205,1698,1969,2250,2065,2030
1739447755.1169505,4095,75,0,1909,1708,1693
1739447755.1605859,4095,0,25,126,0,0
1739447755.203442,4095,0,4095,3229,2717,2484
1739447755.2468631,4095,0,3473,4057,1183,1136
1739447755.3363872,4095,0,0,991,336,327
1739447755.4231443,4095,0,3071,0,59,62
1739447755.4648988,4095,4095,0,0,0,0
1739447755.5549066,0,4095,4095,0,0,0
1739447755.596048,0,4095,4095,0,0,0
1739447755.6438062,4095,4095,0,0,0,0
1739447755.6854157,0,0,4095,753,1267,1270
1739447755.7750719,0,0,4095,0,0,0
1739447755.8142347,0,0,4095,1597,0,0
1739447755.8600132,1666,0,4095,65,0,0
1739447755.9959462,0,0,4095,415,266,259
1739447756.0376525,0,1559,3687,780,609,597
1739447756.0789914,0,2907,3346,3068,2842,2780
1739447756.2104943,0,4095,3329,95,0,0
1739447756.2548752,791,1887,1503,3760,2378,2287
1739447756.2966478,2441,1364,1021,1470,195,191
1739447756.3876028,0,0,4095,0,3451,3504
1739447756.431211,153,0,420,0,411,414
1739447756.4738688,303,0,478,0,171,161
1739447756.5144346,430,0,543,0,0,0
1739447756.606238,266,0,487,60,0,0
1739447756.6501174,329,0,491,0,109,112
1739447756.6963744,348,0,458,0,562,581
1739447756.7377584,364,0,176,0,2007,2088
1739447756.7802172,473,0,0,4095,0,0
1739447756.8668008,2835,0,1008,1136,0,0
1739447756.9085255,4095,1535,0,16,0,0
1739447756.951669,4095,2131,0,247,107,127
1739447756.9956312,4095,3216,0,592,423,448
1739447757.0910757,4095,4095,0,1023,851,849
1739447757.1301007,4095,4095,0,2448,2237,2203
1739447757.1728969,2762,2265,256,134,0,0
1739447757.2151845,144,0,2736,2463,1974,1842
1739447757.3492231,0,0,4095,2703,261,260
1739447757.3911252,0,0,4095,1472,2806,2775
1739447757.4372609,0,0,4095,0,0,16
1739447757.5241983,2610,2305,2251,0,0,0
1739447757.5667486,2645,2435,2370,0,0,0
1739447757.6094518,2709,2559,2516,0,0,0
1739447757.6550958,2448,2485,2418,0,182,202
1739447757.7410274,399,1797,1778,581,1311,1343
1739447757.786792,0,2847,2793,2449,2923,2898
1739447757.8306975,0,4095,4095,434,0,0
1739447757.8731763,0,2077,2073,0,0,0
1739447757.9617267,0,3054,4095,0,0,0
1739447758.0039299,0,0,4095,75,0,0
1739447758.0462034,4095,0,0,1295,1119,1053
1739447758.0891232,4095,0,0,2397,2197,2126
1739447758.136029,2416,0,0,2220,1990,1936
1739447758.2228997,4095,0,0,359,0,0
1739447758.2668486,4095,41,0,4095,0,0
1739447758.309098,4095,0,1707,1495,898,892
1739447758.3563383,4095,0,4095,157,2393,2389
1739447758.4423447,4095,0,509,0,124,126
1739447758.485685,4095,182,0,0,0,0
1739447758.529511,4095,4095,0,0,0,0
1739447758.6180904,0,4095,4095,0,0,0
1739447758.6614513,0,0,4095,0,302,304
1739447758.7027924,0,0,4095,2115,2090,2026
1739447758.748786,0,0,4095,0,0,0
1739447758.8354428,0,0,4095,0,0,0
1739447758.8831403,0,0,4095,0,0,0
1739447758.9227862,0,0,4095,0,0,0
1739447758.9675791,0,0,4095,48,0,0
1739447759.0081308,0,0,4095,0,0,0
1739447759.1398692,0,0,4095,0,0,0
1739447759.1823995,595,0,4095,173,25,37
1739447759.2730956,4095,0,4095,3013,2798,2736
1739447759.319708,4095,0,1733,2035,1846,1755
1739447759.403267,4095,0,0,1150,720,757
1739447759.4898832,4095,0,0,2466,2284,2265
1739447759.534229,4095,0,0,0,0,0
1739447759.58128,4095,0,0,78,0,0
1739447759.6210153,4095,0,18,0,0,0
1739447759.7079513,4095,0,53,3,0,0
1739447759.7577164,4095,0,71,0,0,0
1739447759.7995005,4095,0,101,0,0,0
1739447759.8875449,752,361,672,0,0,0
1739447759.9304507,40,0,0,0,0,0
1739447759.9745011,0,0,0,2267,753,720
1739447760.017761,4095,0,0,0,0,0
1739447760.0589437,4095,4095,0,0,0,0
1739447760.1465027,4095,0,0,0,0,0
1739447760.195862,4095,0,0,666,560,526
1739447760.233449,4095,0,0,880,735,720
1739447760.2790685,4095,3547,0,2320,2127,2096
1739447760.3658934,4095,833,0,2331,2143,2095
1739447760.4553149,0,4095,0,2290,1872,1814
1739447760.4968345,0,4095,0,3949,2821,2718
1739447760.5835745,1849,4095,0,3174,2255,2207
1739447760.6724432,0,4095,0,0,0,0
1739447760.7163055,1690,1446,1317,0,6,0
1739447760.801922,2483,2329,2192,0,0,0
1739447760.8474815,2715,2559,2449,0,0,0
1739447760.8966753,2534,2416,2297,0,0,0
1739447760.9354877,1868,1776,1693,0,0,0
1739447761.0244784,1017,1008,941,0,0,0
1739447761.068216,250,331,259,1840,2395,2448
1739447761.1137342,0,149,86,4095,0,0
1739447761.1557004,0,451,396,0,0,0
1739447761.1967754,0,1269,1213,0,0,0
1739447761.284273,0,1813,1734,0,0,0
1739447761.3731136,4095,0,0,277,168,195
1739447761.416785,4095,471,0,503,400,402
1739447761.4590507,4095,1573,0,2549,2383,2342
1739447761.5026782,4095,4095,0,32,0,0
1739447761.5479941,4095,0,0,2699,2430,2302
1739447761.5915499,4095,1350,0,4095,3087,2913
1739447761.6800745,3798,983,655,1885,1129,1114
1739447761.7217162,4095,0,1226,0,2624,2717
1739447761.7674856,4095,0,1954,847,672,861
1739447761.8114347,4095,0,1347,0,0,0
1739447761.8973033,0,0,4095,0,0,0
1739447761.9419906,0,0,4095,0,0,0
1739447761.984901,0,0,4095,0,314,319
1739447762.1187038,0,0,4095,133,439,368
1739447762.2018688,0,0,4095,0,0,0
1739447762.293479,0,0,4095,0,0,0
1739447762.3365195,0,0,4095,0,0,0
1739447762.3772135,0,0,4095,1264,1114,1104
1739447762.4656732,0,0,4095,2426,2238,2201
1739447762.5519245,0,0,4095,83,0,0
1739447762.5956287,4095,0,0,3904,2655,2546
1739447762.6409757,4095,0,0,4095,119,91
1739447762.692784,4095,0,582,2054,1583,1531
1739447762.774938,4095,4095,0,0,3972,4035
1739447762.819573,4095,0,4095,0,0,0
1739447762.860647,4095,0,4095,0,0,0
1739447762.9038475,0,0,4095,0,0,0
1739447762.992523,0,0,4095,0,0,0
1739447763.033392,0,0,4095,0,45,22
1739447763.0791144,0,0,4095,0,717,750
1739447763.1666055,0,0,4095,0,147,165
1739447763.2082696,0,0,4095,2366,0,0
1739447763.2963445,1083,0,4095,290,0,0
1739447763.3853388,4095,0,582,222,0,12
1739447763.4312787,4095,0,0,2161,1891,1877
1739447763.4707026,3031,15,453,2821,2610,2513
1739447763.5155432,0,2078,1893,1883,1680,1665
1739447763.6494694,1005,2692,0,240,16,0
1739447763.6908612,2203,4095,2129,4095,2688,2667
1739447763.7382874,4095,2309,0,2007,1043,1051
1739447763.7786582,4095,4095,0,0,4095,4095
1739447763.8231785,4095,0,0,1467,2378,2346
1739447763.9560304,4095,0,0,447,0,0
1739447763.995428,3380,0,0,470,0,0
1739447764.0443358,2539,0,0,0,0,0
1739447764.1299818,0,135,18,0,592,573
1739447764.1744611,0,489,379,0,0,0
1739447764.2195573,0,681,566,4017,504,415
1739447764.261239,302,1109,966,0,0,0
1739447764.3488085,1567,2704,2533,0,0,0
1739447764.395265,1997,3143,2924,1643,1510,1501
1739447764.5205162,0,0,4095,2377,2226,2163
1739447764.563649,213,0,4095,1293,1136,1050
1739447764.6105301,3013,0,4095,93,0,0
1739447764.6568184,2498,0,4095,2928,2416,2345
1739447764.6958423,4095,0,4095,4095,2848,2781
1739447764.7869701,4095,0,4095,4095,272,268
1739447764.832019,4095,1653,0,57,2602,2586
1739447764.8730438,4095,4095,0,61,201,209
1739447764.96123,4095,4095,0,0,0,0
1739447765.0033004,983,4095,0,688,0,0
1739447765.049766,4095,0,0,719,0,0
1739447765.0983517,0,0,4095,0,369,371
1739447765.1353765,0,0,4095,0,0,0
1739447765.2238336,0,0,4095,1798,1997,2003
